## {'min_sep': 10.0, 'max_sep': 80.0, 'nbins': 10, 'bin_type': 'Linear', 'num_threads': 4, 'metric': 'Rperp', 'coords': '3d', 'corr': 'NN', 'tot': 80544523440.5}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  1.3500e+01   1.3752e+01   2.6109e+00  -7.2546e-02   8.3127e-05   3.0657e+08   3.3055e+08   3.0657e+08
  2.0500e+01   2.0673e+01   3.0244e+00  -6.8575e-02   6.8938e-05   4.4766e+08   4.8062e+08   4.4766e+08
  2.7500e+01   2.7626e+01   3.3163e+00  -6.2847e-02   6.0585e-05   5.8316e+08   6.2227e+08   5.8316e+08
  3.4500e+01   3.4597e+01   3.5422e+00  -5.6746e-02   5.5053e-05   7.1085e+08   7.5362e+08   7.1085e+08
  4.1500e+01   4.1578e+01   3.7265e+00  -4.9204e-02   5.1094e-05   8.3190e+08   8.7495e+08   8.3190e+08
  4.8500e+01   4.8564e+01   3.8821e+00  -4.2549e-02   4.8113e-05   9.4474e+08   9.8672e+08   9.4474e+08
  5.5500e+01   5.5551e+01   4.0167e+00  -3.9245e-02   4.5791e-05   1.0466e+09   1.0893e+09   1.0466e+09
  6.2500e+01   6.2543e+01   4.1354e+00  -3.6598e-02   4.3946e-05   1.1394e+09   1.1827e+09   1.1394e+09
  6.9500e+01   6.9536e+01   4.2415e+00  -3.3561e-02   4.2469e-05   1.2239e+09   1.2664e+09   1.2239e+09
  7.6500e+01   7.6529e+01   4.3374e+00  -3.0761e-02   4.1284e-05   1.2989e+09   1.3402e+09   1.2989e+09
