## {'min_sep': 10.0, 'max_sep': 150.0, 'nbins': 30, 'coords': '3d', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 40184424018.0}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  1.0462e+01   1.0481e+01   2.3492e+00   1.0074e+00   2.4940e-03   6.7944e+05   6.7944e+05
  1.1450e+01   1.1472e+01   2.4396e+00   8.7616e-01   2.1815e-03   8.3144e+05   8.3144e+05
  1.2532e+01   1.2555e+01   2.5298e+00   7.6360e-01   1.9071e-03   1.0232e+06   1.0232e+06
  1.3715e+01   1.3741e+01   2.6200e+00   6.5745e-01   1.6676e-03   1.2593e+06   1.2593e+06
  1.5011e+01   1.5040e+01   2.7104e+00   5.6722e-01   1.4589e-03   1.5568e+06   1.5568e+06
  1.6429e+01   1.6461e+01   2.8007e+00   4.8463e-01   1.2761e-03   1.9296e+06   1.9296e+06
  1.7981e+01   1.8017e+01   2.8910e+00   4.1245e-01   1.1165e-03   2.3950e+06   2.3950e+06
  1.9680e+01   1.9719e+01   2.9813e+00   3.4912e-01   9.7686e-04   2.9904e+06   2.9904e+06
  2.1539e+01   2.1583e+01   3.0716e+00   2.9261e-01   8.5510e-04   3.7448e+06   3.7448e+06
  2.3574e+01   2.3623e+01   3.1619e+00   2.4312e-01   7.4843e-04   4.6988e+06   4.6988e+06
  2.5801e+01   2.5855e+01   3.2522e+00   2.0316e-01   6.5552e-04   5.9376e+06   5.9376e+06
  2.8238e+01   2.8298e+01   3.3424e+00   1.6749e-01   5.7414e-04   7.5201e+06   7.5201e+06
  3.0906e+01   3.0972e+01   3.4327e+00   1.3519e-01   5.0302e-04   9.5310e+06   9.5310e+06
  3.3825e+01   3.3898e+01   3.5230e+00   1.1051e-01   4.4082e-04   1.2146e+07   1.2146e+07
  3.7021e+01   3.7102e+01   3.6133e+00   8.8963e-02   3.8649e-04   1.5511e+07   1.5511e+07
  4.0518e+01   4.0608e+01   3.7036e+00   7.0702e-02   3.3894e-04   1.9844e+07   1.9844e+07
  4.4346e+01   4.4444e+01   3.7939e+00   5.5830e-02   2.9743e-04   2.5429e+07   2.5429e+07
  4.8535e+01   4.8643e+01   3.8842e+00   4.5299e-02   2.6110e-04   3.2683e+07   3.2683e+07
  5.3120e+01   5.3239e+01   3.9745e+00   3.7109e-02   2.2939e-04   4.2052e+07   4.2052e+07
  5.8138e+01   5.8268e+01   4.0647e+00   2.8981e-02   2.0163e-04   5.4000e+07   5.4000e+07
  6.3630e+01   6.3771e+01   4.1550e+00   2.4236e-02   1.7741e-04   6.9456e+07   6.9456e+07
  6.9641e+01   6.9795e+01   4.2452e+00   1.9994e-02   1.5623e-04   8.9174e+07   8.9174e+07
  7.6220e+01   7.6386e+01   4.3355e+00   1.5225e-02   1.3773e-04   1.1413e+08   1.1413e+08
  8.3420e+01   8.3602e+01   4.4257e+00   1.1663e-02   1.2155e-04   1.4593e+08   1.4593e+08
  9.1301e+01   9.1500e+01   4.5160e+00   9.7791e-03   1.0741e-04   1.8623e+08   1.8623e+08
  9.9926e+01   1.0014e+02   4.6062e+00   9.2065e-03   9.5043e-05   2.3732e+08   2.3732e+08
  1.0937e+02   1.0960e+02   4.6965e+00   7.6007e-03   8.4269e-05   3.0091e+08   3.0091e+08
  1.1970e+02   1.1994e+02   4.7867e+00   4.5653e-03   7.4857e-05   3.7952e+08   3.7952e+08
  1.3100e+02   1.3127e+02   4.8769e+00   3.4084e-03   6.6644e-05   4.7678e+08   4.7678e+08
  1.4338e+02   1.4366e+02   4.9671e+00   2.9283e-03   5.9483e-05   5.9574e+08   5.9574e+08
