## {'min_sep': 10.0, 'max_sep': 150.0, 'nbins': 30, 'coords': '3d', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 241106544108.0}
#   r_nom       meanr       meanlogr        DD         npairs   
  1.0462e+01   1.0486e+01   2.3497e+00   2.0309e+06   2.0309e+06
  1.1450e+01   1.1477e+01   2.4400e+00   2.6572e+06   2.6572e+06
  1.2532e+01   1.2561e+01   2.5303e+00   3.4765e+06   3.4765e+06
  1.3715e+01   1.3748e+01   2.6205e+00   4.5491e+06   4.5491e+06
  1.5011e+01   1.5046e+01   2.7108e+00   5.9430e+06   5.9430e+06
  1.6429e+01   1.6468e+01   2.8011e+00   7.7699e+06   7.7699e+06
  1.7981e+01   1.8023e+01   2.8913e+00   1.0135e+07   1.0135e+07
  1.9680e+01   1.9726e+01   2.9816e+00   1.3241e+07   1.3241e+07
  2.1539e+01   2.1589e+01   3.0719e+00   1.7290e+07   1.7290e+07
  2.3574e+01   2.3629e+01   3.1621e+00   2.2554e+07   2.2554e+07
  2.5801e+01   2.5861e+01   3.2524e+00   2.9420e+07   2.9420e+07
  2.8238e+01   2.8304e+01   3.3427e+00   3.8368e+07   3.8368e+07
  3.0906e+01   3.0978e+01   3.4329e+00   4.9986e+07   4.9986e+07
  3.3825e+01   3.3904e+01   3.5232e+00   6.5090e+07   6.5090e+07
  3.7021e+01   3.7107e+01   3.6135e+00   8.4708e+07   8.4708e+07
  4.0518e+01   4.0612e+01   3.7037e+00   1.1016e+08   1.1016e+08
  4.4346e+01   4.4447e+01   3.7940e+00   1.4309e+08   1.4309e+08
  4.8535e+01   4.8646e+01   3.8842e+00   1.8570e+08   1.8570e+08
  5.3120e+01   5.3241e+01   3.9745e+00   2.4070e+08   2.4070e+08
  5.8138e+01   5.8270e+01   4.0648e+00   3.1150e+08   3.1150e+08
  6.3630e+01   6.3774e+01   4.1550e+00   4.0243e+08   4.0243e+08
  6.9641e+01   6.9797e+01   4.2453e+00   5.1883e+08   5.1883e+08
  7.6220e+01   7.6389e+01   4.3355e+00   6.6733e+08   6.6733e+08
  8.3420e+01   8.3604e+01   4.4258e+00   8.5647e+08   8.5647e+08
  9.1301e+01   9.1500e+01   4.5160e+00   1.0959e+09   1.0959e+09
  9.9926e+01   1.0014e+02   4.6062e+00   1.3985e+09   1.3985e+09
  1.0937e+02   1.0960e+02   4.6965e+00   1.7775e+09   1.7775e+09
  1.1970e+02   1.1995e+02   4.7867e+00   2.2505e+09   2.2505e+09
  1.3100e+02   1.3127e+02   4.8769e+00   2.8348e+09   2.8348e+09
  1.4338e+02   1.4367e+02   4.9672e+00   3.5511e+09   3.5511e+09
