## {'min_sep': 10.0, 'max_sep': 150.0, 'nbins': 30, 'coords': '3d', 'metric': 'Euclidean', 'corr': 'NN', 'tot': 361659816162.0}
#   r_nom       meanr       meanlogr        DD         npairs   
  1.0462e+01   1.0486e+01   2.3497e+00   3.0189e+06   3.0189e+06
  1.1450e+01   1.1477e+01   2.4400e+00   3.9458e+06   3.9458e+06
  1.2532e+01   1.2561e+01   2.5303e+00   5.1630e+06   5.1630e+06
  1.3715e+01   1.3748e+01   2.6205e+00   6.7527e+06   6.7527e+06
  1.5011e+01   1.5046e+01   2.7108e+00   8.8220e+06   8.8220e+06
  1.6429e+01   1.6468e+01   2.8011e+00   1.1531e+07   1.1531e+07
  1.7981e+01   1.8023e+01   2.8913e+00   1.5064e+07   1.5064e+07
  1.9680e+01   1.9726e+01   2.9816e+00   1.9678e+07   1.9678e+07
  2.1539e+01   2.1589e+01   3.0719e+00   2.5681e+07   2.5681e+07
  2.3574e+01   2.3629e+01   3.1621e+00   3.3523e+07   3.3523e+07
  2.5801e+01   2.5861e+01   3.2524e+00   4.3699e+07   4.3699e+07
  2.8238e+01   2.8304e+01   3.3427e+00   5.6966e+07   5.6966e+07
  3.0906e+01   3.0978e+01   3.4329e+00   7.4211e+07   7.4211e+07
  3.3825e+01   3.3904e+01   3.5232e+00   9.6633e+07   9.6633e+07
  3.7021e+01   3.7106e+01   3.6135e+00   1.2571e+08   1.2571e+08
  4.0518e+01   4.0612e+01   3.7037e+00   1.6345e+08   1.6345e+08
  4.4346e+01   4.4447e+01   3.7940e+00   2.1226e+08   2.1226e+08
  4.8535e+01   4.8646e+01   3.8842e+00   2.7544e+08   2.7544e+08
  5.3120e+01   5.3241e+01   3.9745e+00   3.5687e+08   3.5687e+08
  5.8138e+01   5.8270e+01   4.0647e+00   4.6189e+08   4.6189e+08
  6.3630e+01   6.3774e+01   4.1550e+00   5.9663e+08   5.9663e+08
  6.9641e+01   6.9797e+01   4.2453e+00   7.6931e+08   7.6931e+08
  7.6220e+01   7.6390e+01   4.3355e+00   9.8986e+08   9.8986e+08
  8.3420e+01   8.3605e+01   4.4258e+00   1.2709e+09   1.2709e+09
  9.1301e+01   9.1501e+01   4.5160e+00   1.6276e+09   1.6276e+09
  9.9926e+01   1.0014e+02   4.6063e+00   2.0788e+09   2.0788e+09
  1.0937e+02   1.0960e+02   4.6965e+00   2.6443e+09   2.6443e+09
  1.1970e+02   1.1995e+02   4.7867e+00   3.3511e+09   3.3511e+09
  1.3100e+02   1.3128e+02   4.8770e+00   4.2278e+09   4.2278e+09
  1.4338e+02   1.4367e+02   4.9672e+00   5.3071e+09   5.3071e+09
